TSNE1,TSNE2,label
10.881257,31.562096,control
-5.1976805,9.840773,control
13.875584,5.0505147,control
-3.8260899,21.81219,control
-0.028024329,20.24985,control
-0.755574,24.459993,control
-12.706415,15.4554205,control
-17.00262,22.95854,control
3.1157625,15.387783,control
3.5563526,6.774939,control
7.101448,25.941505,control
4.224697,23.913483,control
-2.1462233,16.704687,control
-6.9634423,22.160238,control
-2.6008182,18.909166,control
-11.796089,19.650257,control
-16.058062,19.844046,control
11.194589,20.12025,control
9.291775,22.689842,control
-7.893017,24.278673,control
-4.563396,18.32601,control
8.534089,20.47497,control
3.3066828,14.848736,control
-2.1002502,23.671637,control
-7.2211323,25.902071,control
3.5792277,28.322569,control
6.9866085,19.16694,control
-1.7423512,16.180437,control
2.038125,11.891324,control
3.5809538,22.728512,control
-5.666637,22.654976,control
11.164072,17.487675,control
-4.024983,25.902199,control
-12.4963875,19.055208,control
2.397564,19.259222,control
26.801102,10.834569,control
1.9696969,16.87431,control
13.3358,15.910336,control
-14.858682,20.72977,control
9.104534,24.518303,control
-1.0184646,22.596912,control
0.9692964,21.005386,control
6.405922,18.284279,control
-5.729688,21.887444,control
-16.16761,20.006044,control
-10.918553,20.694933,control
-19.130274,13.83146,control
0.76803,20.681738,control
-5.527468,18.28947,control
3.1508691,17.807247,control
-15.084395,27.492073,control
-16.474842,23.883177,control
-6.8770037,20.32647,control
-5.304707,19.438757,control
-11.610408,22.513357,control
-5.528716,22.285028,control
-6.175381,30.96978,control
-4.4094443,17.944998,control
5.000671,24.631866,control
-10.941621,10.357697,control
-11.532849,18.320395,control
-4.4065013,21.75295,control
-11.29525,12.377601,control
-10.407774,20.392075,control
-0.22370176,21.38834,control
-0.91900986,32.6742,control
-1.8729149,25.205202,control
-15.525584,21.13475,control
5.908784,19.498562,control
3.137262,24.04692,control
2.257689,18.145943,control
-7.1252193,12.597423,control
-10.041128,18.211937,control
6.1093273,20.03079,control
-15.233889,15.732353,control
-12.149765,22.263704,control
2.2682834,23.644993,control
-17.860565,14.258079,control
-1.5216233,20.445408,control
-9.918486,20.384014,control
-9.683217,9.054892,control
5.4627047,22.532553,control
7.257557,15.70139,control
-3.321555,14.051909,control
-3.7127469,9.750947,control
4.7222877,4.654482,control
9.370824,27.662428,control
-7.203936,22.056534,control
-0.2997526,21.307735,control
-1.4290302,16.236626,control
-7.9530935,22.246931,control
2.03749,16.95888,control
-0.17355129,13.287019,control
9.899575,20.91453,control
-0.583212,12.584068,control
7.5428457,12.87778,control
-0.5007617,14.599849,control
-1.279722,17.055141,control
-1.6241235,25.68829,control
-0.51457196,16.597906,control
1.4524201,19.393309,control
2.4974515,16.268589,control
-8.586308,20.574411,control
7.368846,22.473248,control
-1.0997528,20.852674,control
0.7265099,18.157553,control
0.71301436,23.058064,control
-10.567312,23.059841,control
-12.246681,19.013664,control
-15.982607,21.361717,control
-1.1552602,23.691462,control
-5.5602465,19.287275,control
4.9346347,13.893486,control
-2.4624817,19.684402,control
-6.6325464,20.458395,control
-6.7904034,13.765886,control
-8.572782,20.160006,control
3.732375,6.113406,control
12.021447,4.538328,control
6.432404,14.859662,control
10.825628,18.42448,control
1.2262266,16.836004,control
-5.1444297,4.888019,control
-7.649896,4.1380816,control
2.4783485,19.037975,control
16.652588,7.4799848,control
19.295843,15.997212,control
17.336243,4.528376,control
-2.9337983,32.118702,control
-14.680211,21.968,control
-6.951327,17.753061,control
2.540514,6.193097,control
-6.4612885,19.264902,control
11.535319,30.272951,control
16.204527,6.0028596,control
10.799108,17.510744,control
6.514204,24.061068,control
-8.723502,21.769802,control
-2.0317426,12.473855,control
-11.881808,16.519655,control
-5.764835,24.964682,control
11.61488,12.940748,control
-1.2256542,15.96713,control
-15.733368,19.491882,control
-11.147366,28.447508,control
-14.939221,24.555666,control
-6.3598485,20.844618,control
-1.946051,23.55089,control
-8.303746,15.589839,control
-14.177739,19.917488,control
-6.8488545,20.392263,control
3.2894378,29.481771,control
3.7040088,33.88031,control
-14.855158,20.868343,control
-6.0950446,21.07221,control
-5.9734726,30.433407,control
-11.321434,20.805704,control
-4.923599,19.944536,control
-11.505035,19.887573,control
-8.170773,19.790474,control
2.3056042,30.680044,control
-11.994198,18.401058,control
